    0x20             SPACE
    0x7c  |          VERTICAL LINE
    0x7d  }          RIGHT CURLY BRACKET
    0x7e  ~          TILDE
    0xa0             NO-BREAK SPACE
    0xa1  ¡          INVERTED EXCLAMATION MARK
    0xa2  ¢          CENT SIGN
    0xa3  £          POUND SIGN
    0xa4  ¤          CURRENCY SIGN
    0xa5  ¥          YEN SIGN
    0xa6  ¦          BROKEN BAR
    0xa7  §          SECTION SIGN
    0xa8  ¨          DIAERESIS
    0xa9  ©          COPYRIGHT SIGN
    0xaa  ª          FEMININE ORDINAL INDICATOR
    0xab  «          LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
    0xac  ¬          NOT SIGN
    0xad  ­          SOFT HYPHEN
    0xae  ®          REGISTERED SIGN
    0xaf  ¯          MACRON
    0xb0  °          DEGREE SIGN
    0xb1  ±          PLUS-MINUS SIGN
    0xb2  ²          SUPERSCRIPT TWO
    0xb3  ³          SUPERSCRIPT THREE
    0xb4  ´          ACUTE ACCENT
    0xb5  µ          MICRO SIGN
    0xb6  ¶          PILCROW SIGN
    0xb7  ·          MIDDLE DOT
    0xb8  ¸          CEDILLA
    0xb9  ¹          SUPERSCRIPT ONE
    0xba  º          MASCULINE ORDINAL INDICATOR
    0xbb  »          RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
    0xbc  ¼          VULGAR FRACTION ONE QUARTER
    0xbd  ½          VULGAR FRACTION ONE HALF
    0xbe  ¾          VULGAR FRACTION THREE QUARTERS
    0xbf  ¿          INVERTED QUESTION MARK
    0xc0  À          LATIN CAPITAL LETTER A WITH GRAVE
    0xc1  Á          LATIN CAPITAL LETTER A WITH ACUTE
    0xc2  Â          LATIN CAPITAL LETTER A WITH CIRCUMFLEX
    0xc3  Ã          LATIN CAPITAL LETTER A WITH TILDE
    0xc4  Ä          LATIN CAPITAL LETTER A WITH DIAERESIS
    0xc5  Å          LATIN CAPITAL LETTER A WITH RING ABOVE
    0xc6  Æ          LATIN CAPITAL LETTER AE
    0xc7  Ç          LATIN CAPITAL LETTER C WITH CEDILLA
    0xc8  È          LATIN CAPITAL LETTER E WITH GRAVE
    0xc9  É          LATIN CAPITAL LETTER E WITH ACUTE
    0xca  Ê          LATIN CAPITAL LETTER E WITH CIRCUMFLEX
    0xcb  Ë          LATIN CAPITAL LETTER E WITH DIAERESIS
    0xcc  Ì          LATIN CAPITAL LETTER I WITH GRAVE
    0xcd  Í          LATIN CAPITAL LETTER I WITH ACUTE
    0xce  Î          LATIN CAPITAL LETTER I WITH CIRCUMFLEX
    0xcf  Ï          LATIN CAPITAL LETTER I WITH DIAERESIS
    0xd0  Ð          LATIN CAPITAL LETTER ETH
    0xd1  Ñ          LATIN CAPITAL LETTER N WITH TILDE
    0xd2  Ò          LATIN CAPITAL LETTER O WITH GRAVE
    0xd3  Ó          LATIN CAPITAL LETTER O WITH ACUTE
    0xd4  Ô          LATIN CAPITAL LETTER O WITH CIRCUMFLEX
    0xd5  Õ          LATIN CAPITAL LETTER O WITH TILDE
    0xd6  Ö          LATIN CAPITAL LETTER O WITH DIAERESIS
    0xd7  ×          MULTIPLICATION SIGN
    0xd8  Ø          LATIN CAPITAL LETTER O WITH STROKE
    0xd9  Ù          LATIN CAPITAL LETTER U WITH GRAVE
    0xda  Ú          LATIN CAPITAL LETTER U WITH ACUTE
    0xdb  Û          LATIN CAPITAL LETTER U WITH CIRCUMFLEX
    0xdc  Ü          LATIN CAPITAL LETTER U WITH DIAERESIS
    0xdd  Ý          LATIN CAPITAL LETTER Y WITH ACUTE
    0xde  Þ          LATIN CAPITAL LETTER THORN
    0xdf  ß          LATIN SMALL LETTER SHARP S
    0xe0  à          LATIN SMALL LETTER A WITH GRAVE
    0xe1  á          LATIN SMALL LETTER A WITH ACUTE
    0xe2  â          LATIN SMALL LETTER A WITH CIRCUMFLEX
    0xe3  ã          LATIN SMALL LETTER A WITH TILDE
    0xe4  ä          LATIN SMALL LETTER A WITH DIAERESIS
    0xe5  å          LATIN SMALL LETTER A WITH RING ABOVE
    0xe6  æ          LATIN SMALL LETTER AE
    0xe7  ç          LATIN SMALL LETTER C WITH CEDILLA
    0xe8  è          LATIN SMALL LETTER E WITH GRAVE
    0xe9  é          LATIN SMALL LETTER E WITH ACUTE
    0xea  ê          LATIN SMALL LETTER E WITH CIRCUMFLEX
    0xeb  ë          LATIN SMALL LETTER E WITH DIAERESIS
    0xec  ì          LATIN SMALL LETTER I WITH GRAVE
    0xed  í          LATIN SMALL LETTER I WITH ACUTE
    0xee  î          LATIN SMALL LETTER I WITH CIRCUMFLEX
    0xef  ï          LATIN SMALL LETTER I WITH DIAERESIS
    0xf0  ð          LATIN SMALL LETTER ETH
    0xf1  ñ          LATIN SMALL LETTER N WITH TILDE
    0xf2  ò          LATIN SMALL LETTER O WITH GRAVE
    0xf3  ó          LATIN SMALL LETTER O WITH ACUTE
    0xf4  ô          LATIN SMALL LETTER O WITH CIRCUMFLEX
    0xf5  õ          LATIN SMALL LETTER O WITH TILDE
    0xf6  ö          LATIN SMALL LETTER O WITH DIAERESIS
    0xf7  ÷          DIVISION SIGN
    0xf8  ø          LATIN SMALL LETTER O WITH STROKE
    0xf9  ù          LATIN SMALL LETTER U WITH GRAVE
    0xfa  ú          LATIN SMALL LETTER U WITH ACUTE
    0xfb  û          LATIN SMALL LETTER U WITH CIRCUMFLEX
    0xfc  ü          LATIN SMALL LETTER U WITH DIAERESIS
    0xfd  ý          LATIN SMALL LETTER Y WITH ACUTE
    0xfe  þ          LATIN SMALL LETTER THORN
    0xff  ÿ          LATIN SMALL LETTER Y WITH DIAERESIS
   0x100  Ā          LATIN CAPITAL LETTER A WITH MACRON
   0x101  ā          LATIN SMALL LETTER A WITH MACRON
   0x102  Ă          LATIN CAPITAL LETTER A WITH BREVE
   0x103  ă          LATIN SMALL LETTER A WITH BREVE
   0x104  Ą          LATIN CAPITAL LETTER A WITH OGONEK
   0x105  ą          LATIN SMALL LETTER A WITH OGONEK
   0x106  Ć          LATIN CAPITAL LETTER C WITH ACUTE
   0x107  ć          LATIN SMALL LETTER C WITH ACUTE
   0x108  Ĉ          LATIN CAPITAL LETTER C WITH CIRCUMFLEX
   0x109  ĉ          LATIN SMALL LETTER C WITH CIRCUMFLEX
   0x10a  Ċ          LATIN CAPITAL LETTER C WITH DOT ABOVE
   0x10b  ċ          LATIN SMALL LETTER C WITH DOT ABOVE
   0x10c  Č          LATIN CAPITAL LETTER C WITH CARON
   0x10d  č          LATIN SMALL LETTER C WITH CARON
   0x10e  Ď          LATIN CAPITAL LETTER D WITH CARON
   0x10f  ď          LATIN SMALL LETTER D WITH CARON
   0x110  Đ          LATIN CAPITAL LETTER D WITH STROKE
   0x111  đ          LATIN SMALL LETTER D WITH STROKE
   0x112  Ē          LATIN CAPITAL LETTER E WITH MACRON
   0x113  ē          LATIN SMALL LETTER E WITH MACRON
   0x114  Ĕ          LATIN CAPITAL LETTER E WITH BREVE
   0x115  ĕ          LATIN SMALL LETTER E WITH BREVE
   0x116  Ė          LATIN CAPITAL LETTER E WITH DOT ABOVE
   0x117  ė          LATIN SMALL LETTER E WITH DOT ABOVE
   0x118  Ę          LATIN CAPITAL LETTER E WITH OGONEK
   0x119  ę          LATIN SMALL LETTER E WITH OGONEK
   0x11a  Ě          LATIN CAPITAL LETTER E WITH CARON
   0x11b  ě          LATIN SMALL LETTER E WITH CARON
   0x11c  Ĝ          LATIN CAPITAL LETTER G WITH CIRCUMFLEX
   0x11d  ĝ          LATIN SMALL LETTER G WITH CIRCUMFLEX
   0x11e  Ğ          LATIN CAPITAL LETTER G WITH BREVE
   0x11f  ğ          LATIN SMALL LETTER G WITH BREVE
   0x120  Ġ          LATIN CAPITAL LETTER G WITH DOT ABOVE
   0x121  ġ          LATIN SMALL LETTER G WITH DOT ABOVE
   0x122  Ģ          LATIN CAPITAL LETTER G WITH CEDILLA
   0x123  ģ          LATIN SMALL LETTER G WITH CEDILLA
   0x124  Ĥ          LATIN CAPITAL LETTER H WITH CIRCUMFLEX
   0x125  ĥ          LATIN SMALL LETTER H WITH CIRCUMFLEX
   0x126  Ħ          LATIN CAPITAL LETTER H WITH STROKE
   0x127  ħ          LATIN SMALL LETTER H WITH STROKE
   0x128  Ĩ          LATIN CAPITAL LETTER I WITH TILDE
   0x129  ĩ          LATIN SMALL LETTER I WITH TILDE
   0x12a  Ī          LATIN CAPITAL LETTER I WITH MACRON
   0x12b  ī          LATIN SMALL LETTER I WITH MACRON
   0x12c  Ĭ          LATIN CAPITAL LETTER I WITH BREVE
   0x12d  ĭ          LATIN SMALL LETTER I WITH BREVE
   0x12e  Į          LATIN CAPITAL LETTER I WITH OGONEK
   0x12f  į          LATIN SMALL LETTER I WITH OGONEK
   0x130  İ          LATIN CAPITAL LETTER I WITH DOT ABOVE
   0x131  ı          LATIN SMALL LETTER DOTLESS I
   0x132  Ĳ          LATIN CAPITAL LIGATURE IJ
   0x133  ĳ          LATIN SMALL LIGATURE IJ
   0x134  Ĵ          LATIN CAPITAL LETTER J WITH CIRCUMFLEX
   0x135  ĵ          LATIN SMALL LETTER J WITH CIRCUMFLEX
   0x136  Ķ          LATIN CAPITAL LETTER K WITH CEDILLA
   0x137  ķ          LATIN SMALL LETTER K WITH CEDILLA
   0x138  ĸ          LATIN SMALL LETTER KRA
   0x139  Ĺ          LATIN CAPITAL LETTER L WITH ACUTE
   0x13a  ĺ          LATIN SMALL LETTER L WITH ACUTE
   0x13b  Ļ          LATIN CAPITAL LETTER L WITH CEDILLA
   0x13c  ļ          LATIN SMALL LETTER L WITH CEDILLA
   0x13d  Ľ          LATIN CAPITAL LETTER L WITH CARON
   0x13e  ľ          LATIN SMALL LETTER L WITH CARON
   0x13f  Ŀ          LATIN CAPITAL LETTER L WITH MIDDLE DOT
   0x140  ŀ          LATIN SMALL LETTER L WITH MIDDLE DOT
   0x141  Ł          LATIN CAPITAL LETTER L WITH STROKE
   0x142  ł          LATIN SMALL LETTER L WITH STROKE
   0x143  Ń          LATIN CAPITAL LETTER N WITH ACUTE
   0x144  ń          LATIN SMALL LETTER N WITH ACUTE
   0x145  Ņ          LATIN CAPITAL LETTER N WITH CEDILLA
   0x146  ņ          LATIN SMALL LETTER N WITH CEDILLA
   0x147  Ň          LATIN CAPITAL LETTER N WITH CARON
   0x148  ň          LATIN SMALL LETTER N WITH CARON
   0x149  ŉ          LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
   0x14a  Ŋ          LATIN CAPITAL LETTER ENG
   0x14b  ŋ          LATIN SMALL LETTER ENG
   0x14c  Ō          LATIN CAPITAL LETTER O WITH MACRON
   0x14d  ō          LATIN SMALL LETTER O WITH MACRON
   0x14e  Ŏ          LATIN CAPITAL LETTER O WITH BREVE
   0x14f  ŏ          LATIN SMALL LETTER O WITH BREVE
   0x150  Ő          LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
   0x151  ő          LATIN SMALL LETTER O WITH DOUBLE ACUTE
   0x152  Œ          LATIN CAPITAL LIGATURE OE
   0x153  œ          LATIN SMALL LIGATURE OE
   0x154  Ŕ          LATIN CAPITAL LETTER R WITH ACUTE
   0x155  ŕ          LATIN SMALL LETTER R WITH ACUTE
   0x156  Ŗ          LATIN CAPITAL LETTER R WITH CEDILLA
   0x157  ŗ          LATIN SMALL LETTER R WITH CEDILLA
   0x158  Ř          LATIN CAPITAL LETTER R WITH CARON
   0x159  ř          LATIN SMALL LETTER R WITH CARON
   0x15a  Ś          LATIN CAPITAL LETTER S WITH ACUTE
   0x15b  ś          LATIN SMALL LETTER S WITH ACUTE
   0x15c  Ŝ          LATIN CAPITAL LETTER S WITH CIRCUMFLEX
   0x15d  ŝ          LATIN SMALL LETTER S WITH CIRCUMFLEX
   0x15e  Ş          LATIN CAPITAL LETTER S WITH CEDILLA
   0x15f  ş          LATIN SMALL LETTER S WITH CEDILLA
   0x160  Š          LATIN CAPITAL LETTER S WITH CARON
   0x161  š          LATIN SMALL LETTER S WITH CARON
   0x162  Ţ          LATIN CAPITAL LETTER T WITH CEDILLA
   0x163  ţ          LATIN SMALL LETTER T WITH CEDILLA
   0x164  Ť          LATIN CAPITAL LETTER T WITH CARON
   0x165  ť          LATIN SMALL LETTER T WITH CARON
   0x166  Ŧ          LATIN CAPITAL LETTER T WITH STROKE
   0x167  ŧ          LATIN SMALL LETTER T WITH STROKE
   0x168  Ũ          LATIN CAPITAL LETTER U WITH TILDE
   0x169  ũ          LATIN SMALL LETTER U WITH TILDE
   0x16a  Ū          LATIN CAPITAL LETTER U WITH MACRON
   0x16b  ū          LATIN SMALL LETTER U WITH MACRON
   0x16c  Ŭ          LATIN CAPITAL LETTER U WITH BREVE
   0x16d  ŭ          LATIN SMALL LETTER U WITH BREVE
   0x16e  Ů          LATIN CAPITAL LETTER U WITH RING ABOVE
   0x16f  ů          LATIN SMALL LETTER U WITH RING ABOVE
   0x170  Ű          LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
   0x171  ű          LATIN SMALL LETTER U WITH DOUBLE ACUTE
   0x172  Ų          LATIN CAPITAL LETTER U WITH OGONEK
   0x173  ų          LATIN SMALL LETTER U WITH OGONEK
   0x174  Ŵ          LATIN CAPITAL LETTER W WITH CIRCUMFLEX
   0x175  ŵ          LATIN SMALL LETTER W WITH CIRCUMFLEX
   0x176  Ŷ          LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
   0x177  ŷ          LATIN SMALL LETTER Y WITH CIRCUMFLEX
   0x178  Ÿ          LATIN CAPITAL LETTER Y WITH DIAERESIS
   0x179  Ź          LATIN CAPITAL LETTER Z WITH ACUTE
   0x17a  ź          LATIN SMALL LETTER Z WITH ACUTE
   0x17b  Ż          LATIN CAPITAL LETTER Z WITH DOT ABOVE
   0x17c  ż          LATIN SMALL LETTER Z WITH DOT ABOVE
   0x17d  Ž          LATIN CAPITAL LETTER Z WITH CARON
   0x17e  ž          LATIN SMALL LETTER Z WITH CARON
   0x17f  ſ          LATIN SMALL LETTER LONG S
   0x180  ƀ          LATIN SMALL LETTER B WITH STROKE
   0x181  Ɓ          LATIN CAPITAL LETTER B WITH HOOK
   0x182  Ƃ          LATIN CAPITAL LETTER B WITH TOPBAR
   0x183  ƃ          LATIN SMALL LETTER B WITH TOPBAR
   0x184  Ƅ          LATIN CAPITAL LETTER TONE SIX
   0x185  ƅ          LATIN SMALL LETTER TONE SIX
   0x186  Ɔ          LATIN CAPITAL LETTER OPEN O
   0x187  Ƈ          LATIN CAPITAL LETTER C WITH HOOK
   0x188  ƈ          LATIN SMALL LETTER C WITH HOOK
   0x189  Ɖ          LATIN CAPITAL LETTER AFRICAN D
   0x18a  Ɗ          LATIN CAPITAL LETTER D WITH HOOK
   0x18b  Ƌ          LATIN CAPITAL LETTER D WITH TOPBAR
   0x18c  ƌ          LATIN SMALL LETTER D WITH TOPBAR
   0x18d  ƍ          LATIN SMALL LETTER TURNED DELTA
   0x18e  Ǝ          LATIN CAPITAL LETTER REVERSED E
   0x18f  Ə          LATIN CAPITAL LETTER SCHWA
   0x190  Ɛ          LATIN CAPITAL LETTER OPEN E
   0x191  Ƒ          LATIN CAPITAL LETTER F WITH HOOK
   0x192  ƒ          LATIN SMALL LETTER F WITH HOOK
   0x193  Ɠ          LATIN CAPITAL LETTER G WITH HOOK
   0x194  Ɣ          LATIN CAPITAL LETTER GAMMA
   0x195  ƕ          LATIN SMALL LETTER HV
   0x196  Ɩ          LATIN CAPITAL LETTER IOTA
   0x197  Ɨ          LATIN CAPITAL LETTER I WITH STROKE
   0x198  Ƙ          LATIN CAPITAL LETTER K WITH HOOK
   0x199  ƙ          LATIN SMALL LETTER K WITH HOOK
   0x19a  ƚ          LATIN SMALL LETTER L WITH BAR
   0x19b  ƛ          LATIN SMALL LETTER LAMBDA WITH STROKE
   0x19c  Ɯ          LATIN CAPITAL LETTER TURNED M
   0x19d  Ɲ          LATIN CAPITAL LETTER N WITH LEFT HOOK
   0x19e  ƞ          LATIN SMALL LETTER N WITH LONG RIGHT LEG
   0x19f  Ɵ          LATIN CAPITAL LETTER O WITH MIDDLE TILDE
   0x1a0  Ơ          LATIN CAPITAL LETTER O WITH HORN
   0x1a1  ơ          LATIN SMALL LETTER O WITH HORN
   0x1a2  Ƣ          LATIN CAPITAL LETTER OI
   0x1a3  ƣ          LATIN SMALL LETTER OI
   0x1a4  Ƥ          LATIN CAPITAL LETTER P WITH HOOK
   0x1a5  ƥ          LATIN SMALL LETTER P WITH HOOK
   0x1a6  Ʀ          LATIN LETTER YR
   0x1a7  Ƨ          LATIN CAPITAL LETTER TONE TWO
   0x1a8  ƨ          LATIN SMALL LETTER TONE TWO
   0x1a9  Ʃ          LATIN CAPITAL LETTER ESH
   0x1aa  ƪ          LATIN LETTER REVERSED ESH LOOP
   0x1ab  ƫ          LATIN SMALL LETTER T WITH PALATAL HOOK
   0x1ac  Ƭ          LATIN CAPITAL LETTER T WITH HOOK
   0x1ad  ƭ          LATIN SMALL LETTER T WITH HOOK
   0x1ae  Ʈ          LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
   0x1af  Ư          LATIN CAPITAL LETTER U WITH HORN
   0x1b0  ư          LATIN SMALL LETTER U WITH HORN
   0x1b1  Ʊ          LATIN CAPITAL LETTER UPSILON
   0x1b2  Ʋ          LATIN CAPITAL LETTER V WITH HOOK
   0x1b3  Ƴ          LATIN CAPITAL LETTER Y WITH HOOK
   0x1b4  ƴ          LATIN SMALL LETTER Y WITH HOOK
   0x1b5  Ƶ          LATIN CAPITAL LETTER Z WITH STROKE
   0x1b6  ƶ          LATIN SMALL LETTER Z WITH STROKE
   0x1b7  Ʒ          LATIN CAPITAL LETTER EZH
   0x1b8  Ƹ          LATIN CAPITAL LETTER EZH REVERSED
   0x1b9  ƹ          LATIN SMALL LETTER EZH REVERSED
   0x1ba  ƺ          LATIN SMALL LETTER EZH WITH TAIL
   0x1bb  ƻ          LATIN LETTER TWO WITH STROKE
   0x1bc  Ƽ          LATIN CAPITAL LETTER TONE FIVE
   0x1bd  ƽ          LATIN SMALL LETTER TONE FIVE
   0x1be  ƾ          LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
   0x1bf  ƿ          LATIN LETTER WYNN
   0x1c0  ǀ          LATIN LETTER DENTAL CLICK
   0x1c1  ǁ          LATIN LETTER LATERAL CLICK
   0x1c2  ǂ          LATIN LETTER ALVEOLAR CLICK
   0x1c3  ǃ          LATIN LETTER RETROFLEX CLICK
   0x1c4  Ǆ          LATIN CAPITAL LETTER DZ WITH CARON
   0x1c5  ǅ          LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON
   0x1c6  ǆ          LATIN SMALL LETTER DZ WITH CARON
   0x1c7  Ǉ          LATIN CAPITAL LETTER LJ
   0x1c8  ǈ          LATIN CAPITAL LETTER L WITH SMALL LETTER J
   0x1c9  ǉ          LATIN SMALL LETTER LJ
   0x1ca  Ǌ          LATIN CAPITAL LETTER NJ
   0x1cb  ǋ          LATIN CAPITAL LETTER N WITH SMALL LETTER J
   0x1cc  ǌ          LATIN SMALL LETTER NJ
   0x1cd  Ǎ          LATIN CAPITAL LETTER A WITH CARON
   0x1ce  ǎ          LATIN SMALL LETTER A WITH CARON
   0x1cf  Ǐ          LATIN CAPITAL LETTER I WITH CARON
   0x1d0  ǐ          LATIN SMALL LETTER I WITH CARON
   0x1d1  Ǒ          LATIN CAPITAL LETTER O WITH CARON
   0x1d2  ǒ          LATIN SMALL LETTER O WITH CARON
   0x1d3  Ǔ          LATIN CAPITAL LETTER U WITH CARON
   0x1d4  ǔ          LATIN SMALL LETTER U WITH CARON
   0x1d5  Ǖ          LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
   0x1d6  ǖ          LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
   0x1d7  Ǘ          LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
   0x1d8  ǘ          LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
   0x1d9  Ǚ          LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
   0x1da  ǚ          LATIN SMALL LETTER U WITH DIAERESIS AND CARON
   0x1db  Ǜ          LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
   0x1dc  ǜ          LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
   0x1dd  ǝ          LATIN SMALL LETTER TURNED E
   0x1de  Ǟ          LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
   0x1df  ǟ          LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
   0x1e0  Ǡ          LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
   0x1e1  ǡ          LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
   0x1e2  Ǣ          LATIN CAPITAL LETTER AE WITH MACRON
   0x1e3  ǣ          LATIN SMALL LETTER AE WITH MACRON
   0x1e4  Ǥ          LATIN CAPITAL LETTER G WITH STROKE
   0x1e5  ǥ          LATIN SMALL LETTER G WITH STROKE
   0x1e6  Ǧ          LATIN CAPITAL LETTER G WITH CARON
   0x1e7  ǧ          LATIN SMALL LETTER G WITH CARON
   0x1e8  Ǩ          LATIN CAPITAL LETTER K WITH CARON
   0x1e9  ǩ          LATIN SMALL LETTER K WITH CARON
   0x1ea  Ǫ          LATIN CAPITAL LETTER O WITH OGONEK
   0x1eb  ǫ          LATIN SMALL LETTER O WITH OGONEK
   0x1ec  Ǭ          LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
   0x1ed  ǭ          LATIN SMALL LETTER O WITH OGONEK AND MACRON
   0x1ee  Ǯ          LATIN CAPITAL LETTER EZH WITH CARON
   0x1ef  ǯ          LATIN SMALL LETTER EZH WITH CARON
   0x1f0  ǰ          LATIN SMALL LETTER J WITH CARON
   0x1f1  Ǳ          LATIN CAPITAL LETTER DZ
   0x1f2  ǲ          LATIN CAPITAL LETTER D WITH SMALL LETTER Z
   0x1f3  ǳ          LATIN SMALL LETTER DZ
   0x1f4  Ǵ          LATIN CAPITAL LETTER G WITH ACUTE
   0x1f5  ǵ          LATIN SMALL LETTER G WITH ACUTE
   0x1f6  Ƕ          LATIN CAPITAL LETTER HWAIR
   0x1f7  Ƿ          LATIN CAPITAL LETTER WYNN
   0x1f8  Ǹ          LATIN CAPITAL LETTER N WITH GRAVE
   0x1f9  ǹ          LATIN SMALL LETTER N WITH GRAVE
   0x1fa  Ǻ          LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
   0x1fb  ǻ          LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
   0x1fc  Ǽ          LATIN CAPITAL LETTER AE WITH ACUTE
   0x1fd  ǽ          LATIN SMALL LETTER AE WITH ACUTE
   0x1fe  Ǿ          LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
   0x1ff  ǿ          LATIN SMALL LETTER O WITH STROKE AND ACUTE
   0x200  Ȁ          LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
   0x201  ȁ          LATIN SMALL LETTER A WITH DOUBLE GRAVE
   0x202  Ȃ          LATIN CAPITAL LETTER A WITH INVERTED BREVE
   0x203  ȃ          LATIN SMALL LETTER A WITH INVERTED BREVE
   0x204  Ȅ          LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
   0x205  ȅ          LATIN SMALL LETTER E WITH DOUBLE GRAVE
   0x206  Ȇ          LATIN CAPITAL LETTER E WITH INVERTED BREVE
   0x207  ȇ          LATIN SMALL LETTER E WITH INVERTED BREVE
   0x208  Ȉ          LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
   0x209  ȉ          LATIN SMALL LETTER I WITH DOUBLE GRAVE
   0x20a  Ȋ          LATIN CAPITAL LETTER I WITH INVERTED BREVE
   0x20b  ȋ          LATIN SMALL LETTER I WITH INVERTED BREVE
   0x20c  Ȍ          LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
   0x20d  ȍ          LATIN SMALL LETTER O WITH DOUBLE GRAVE
   0x20e  Ȏ          LATIN CAPITAL LETTER O WITH INVERTED BREVE
